Balance,879,772,,,,,,,,GEARBOX,,,,,,,,MOTOR,,,,,,,,,BRAKE,,,,,,REMARK
,,,,,,,,,,Version,,,Input Configguration,,,,,,,,,,,,,,,,,,,,
No.,Code,Full designation,Nick designation,Quantity,General name,Type,Size,Manufactory,Origin,Type,Shaft,Flange,Type,Shaft,Flange,Mouting Position,Option,Code,Type,Power,Pole,Voltage - Frequency,Degree of Protection,Insulation Class,Mouting,Terminal Box Position,Brake Type,Brake Torque,Brake Hand Release,Rectifier Type,Brake Supply,Option,
130,8D10030116,,BN 63B 6 B5 IP56,6,Motor,Electric,BN 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
131,200450339,,VF 44 F1 100 P63 B14 B3,1,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
132,200470219,,VF 44 F2 46 P63 B14 B3,1,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
133,200670031,,VF 49 F2 7 P71 B5 B3,0,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
134,830720106,,BN 71B 4 B5 IP55,2,Motor,Electric,BN 71,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
135,831120906,,BN 90LA 4 B3 IP55,1,Motor,Electric,BN 90,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
136,200420061,,VF 44 A 10 P63 B5 B3,0,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
137,830420106,,BN 63A 4 B5 IP55,3,Motor,Electric,BN 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
138,830620106,,BN 71A 4 B5 IP55,0,Motor,Electric,BN 71,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
139,830510500,,BN 63A 2 B5 IP55,3,Motor,Electric,BN 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
140,8D11020001,,BN 63C 4 B5 IP55,1,Motor,Electric,BN 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
141,8D17020001,,BN 71C 4 B5 IP55,1,Motor,Electric,BN 71,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
142,830620156,,BN 71A 4 B14 IP55,1,Motor,Electric,BN 71,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
143,2T306L4E75001H,,3 06 L4 1475 FP P71 T G0A,1,Gearbox,Planetary gearbox,3 06,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
144,2EA70228000K,,C 22 2 F 48.6 P71 V1 DL,2,Gearbox,Inline gearbox,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
145,M37950210031,,VFR 44 F1 350 S44 B3 BN 44C 4,0,Gearmotor,Helical-worm gear unit,VFR 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
